file,ID,rt,gt,bt,r,g,b,total,r/g,g/b,b/r
f1.jpg,0,0.408507917,0.339413999,0.252078083,78.70289855,65.39130435,48.56521739,192.6594203,1.203568262,1.346463742,0.617070251
f2.jpg,0,0.407895579,0.344199885,0.247904536,65.72164948,55.45876289,39.94329897,161.1237113,1.185054373,1.388437218,0.607764706
f3.jpg,0,0.395949492,0.340398491,0.263652017,69.98550725,60.16666667,46.60144928,176.7536232,1.163194026,1.291090033,0.665872852
f4.jpg,0,0.414696296,0.344414815,0.240888889,64.20183486,53.32110092,37.29357798,154.8165138,1.204060564,1.429766298,0.580880251
f5.jpg,0,0.420091903,0.344699731,0.235208366,37.44632768,30.7259887,20.96610169,89.13841807,1.218718397,1.46550795,0.559897405
f6.jpg,0,0.462163069,0.351251136,0.186585795,67.05700713,50.96437055,27.07244656,145.0938242,1.315762491,1.882518096,0.403722858
f7.jpg,0,0.441249674,0.354176589,0.204573737,68.21971496,54.75771971,31.62826603,154.6057007,1.245846528,1.731290601,0.463623544
f8.jpg,0,0.406040101,0.34434549,0.249614409,42.28497409,35.86010363,25.99481865,104.1398964,1.17916486,1.379509667,0.614753094
f9.jpg,0,0.388408304,0.3463812,0.265210496,107.76,96.1,73.58,277.44,1.121331946,1.30606143,0.68281366
f10.jpg,0,0.377166628,0.369655651,0.253177721,181.3333333,177.7222222,121.7222222,480.7777777,1.02031885,1.460063898,0.671262255
f11.jpg,0,0.401446922,0.338845416,0.259707663,59.10869565,49.89130435,38.23913043,147.2391304,1.184749455,1.30471859,0.646929018
f12.jpg,0,0.378069456,0.340005469,0.281925075,60.64035088,54.53508772,45.21929825,160.3947369,1.111951102,1.206013579,0.745696514
f13.jpg,0,0.404283659,0.345037029,0.250679312,102.5405405,87.51351351,63.58108108,253.6351351,1.171710932,1.376408076,0.620057987
f14.jpg,0,0.393709328,0.340428416,0.265862256,116.16,100.44,78.44,295.04,1.15651135,1.280469148,0.675275482
f15.jpg,0,0.394022176,0.340269966,0.265707858,98.08,84.7,66.14,248.92,1.157969303,1.280616873,0.674347471
f16.jpg,0,0.413157393,0.336318598,0.250524009,76.07894737,61.92982456,46.13157895,184.1403509,1.228470255,1.342460544,0.60636458
